SIC,Total intermediate consumption,Total intermediate demand
1,14838,16600
2,1067,711
3,962,924
5,675,3325
06 & 07,13349,54900
8,2350,4669
9,1986,4098
10.1,10864,6129
10.2-3,5212,6806
10.4,635,2485
10.5,6370,3330
10.6,4498,4473
10.7,5047,3474
10.8,9886,9193
10.9,3919,3225
11.01-6,5420,17588
11.07,2606,1301
12,973,25
13,3237,5119
14,2345,1235
15,529,1825
16,4291,8349
17,8315,19819
18,6384,8189
19,27983,34713
20.3,2121,4030
20.4,4672,4308
20.5,4033,4407
20A,3143,6308
20B,16883,22160
20C,1920,1915
21,8513,22778
22,11891,21727
23.5-6,5485,8059
23OTHER,4621,9586
24.1-3,8426,11972
24.4-5,8404,14346
25.4,1781,4235
25OTHER,14066,28042
26,11465,36967
27,8215,11534
28,16970,14557
29,35031,27409
30.1,2212,1084
30.3,15493,8236
30OTHER,2146,549
31,3891,2718
32,3913,9247
33.15,501,1070
33.16,2401,4061
33OTHER,5145,11416
35.1,58263,43082
35.2-3,17629,21777
36,2080,1642
37,2006,2313
38,13700,11176
39,175,561
"41, 42 & 43",121430,113681
45,21305,12758
46,56457,0
47,55477,0
49.1-2,6174,2087
49.3-5,22864,33469
50,10785,4699
51,10428,8167
52,22919,34476
53,9093,16150
55,11566,9155
56,30699,9916
58,9110,5669
59 & 60,13305,4084
61,22473,26455
62,21138,42997
63,2750,7413
64,62960,53504
65.1-2 & 65.3,43094,22318
66,11786,10263
68.1-2,24675,23003
68.3,2484,425
69.1,8296,23884
69.2,4106,14730
70,15729,35540
71,19789,31947
72,4686,7934
73,8657,24885
74,7010,13126
75,818,334
77,8210,21591
78,11975,33047
79,7245,14070
80,2143,6025
81,7306,12871
82,15605,31307
84,72939,13576
85,31913,23461
86,66086,13712
87 & 88,37447,24727
90,2915,2087
91,1695,2070
92,4096,3347
93,7336,1086
94,3666,5148
95,1248,2579
96,6231,3691
